Phân khúc,Mã Sản Phẩm,Mô Hình Tối Ưu,Val_sMAPE (%),Val_RMSE,Dự báo T1/2026,Dự báo T2/2026,Dự báo T3/2026
A - ML Candidate,"29.L1.4080.FC4803(D,V)",XGBoost,158.29,930.46,1132.0,1238.0,462.0
A - ML Candidate,"29.L1.4080.FC4805(D,V)",CatBoost,28.79,1004.85,921.0,808.0,878.0
A - ML Candidate,29.L1.6060.FP(6602-6605),CatBoost,132.78,659.76,8868.0,5639.0,8303.0
A - ML Candidate,"29.L1.6060.FPH(6001,966001)",LSTM,167.41,1202.76,721.0,723.0,724.0
A - ML Candidate,31.L1.LEO-100100-0xx,Ensemble,13.82,201.2,1157.0,1157.0,1157.0
A - ML Candidate,"32.L1.ACC-(080160-00x,120120-00x)",Prophet,65.86,1064.79,545.0,479.0,462.0
A - ML Candidate,"33.L1.ICO-020120-1300(1,3,4)",Prophet,48.59,1887.03,1990.0,2414.0,2679.0
A - ML Candidate,33.L1.ICO-060120-00x,ARIMA,72.08,66.15,45.0,41.0,37.0
A - ML Candidate,33.L1.ICO-080160-00(1-5),LSTM,156.61,193.72,315.0,317.0,319.0
A - ML Candidate,34.L1.ITA-060120-00x,XGBoost,50.5,59.73,58.0,4.0,6.0
C - Sparse,36.L1.8080.IP800(1-7),MA3,139.73,21.94,7.0,7.0,7.0
C - Sparse,36.L2.3060.USC3601,Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,36.L2.3060.USC3602,Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,36.L2.3060.USC3603(V),Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,36.L2.3060.USC3604(D),Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,36.L2.3060.USC36(21-29),Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,"36.L2.3060.USC36(31,33,37,38,39)",Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,36.L2.6060.N6002,Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,"36.L3.3060.USC3601,36.L3.3060.USC3602",Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,"36.L3.3060.USC3603(D,V)",Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,36.L3.3060.USC3604(D),Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,36.L3.3060.USC36(21-29),Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,36.L3.3060.USC363x,Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,38.L1.3060.KAI3607(D),MA3,39.83,1656.17,3119.0,3119.0,3119.0
C - Sparse,38.L1.3060.KAI3608,MA6,47.11,2213.59,2440.0,2440.0,2440.0
C - Sparse,"38.L1.4080.UT481001(D,T,V)",Naive,89.31,2844.51,3305.0,3305.0,3305.0
C - Sparse,"38.L1.4080.UT481002(D,V)",Naive,33.95,175.48,233.0,233.0,233.0
C - Sparse,"38.L1.4080.UT481003(D,V)",MA3,92.87,157.41,167.0,167.0,167.0
C - Sparse,"38.L1.4080.UT481004(D,T,V)",Naive,89.45,5004.96,7182.0,7182.0,7182.0
C - Sparse,"38.L1.4080.UT481005(D,V)",Naive,173.52,624.81,516.0,516.0,516.0
C - Sparse,"38.L1.4080.UT481006(D,V)",Naive,72.36,436.29,239.0,239.0,239.0
C - Sparse,"39.L2.6060.UGG60(01,03,04,06,07,10)",Naive,0.0,0.0,0.0,0.0,0.0
C - Sparse,41.L1.3060.M330(1-8),Naive,200.0,47875.45,44876.0,44876.0,44876.0
C - Sparse,"41.L1.3060.M340(1,3,5,7)",Naive,200.0,2846.39,1395.0,1395.0,1395.0
C - Sparse,"41.L1.3060.MS36100(1T,2D,3V)",MA3,40.65,1023.16,2775.0,2775.0,2775.0
C - Sparse,"41.L1.3060.MT36100(1T,2D,3V)",Naive,65.72,9109.79,4285.0,4285.0,4285.0
C - Sparse,41.L1.3060.S310(1-8),MA3,16.14,1281.5,7482.0,7482.0,7482.0
C - Sparse,41.L1.3060.U330(1-8),Naive,200.0,52445.1,67804.0,67804.0,67804.0
C - Sparse,"41.L1.3060.U340(1,3,5,7)",Naive,200.0,3108.67,4395.0,4395.0,4395.0
C - Sparse,"41.L1.3060.UT36100(1T,2D,3V)",Naive,48.47,6013.13,3865.0,3865.0,3865.0
C - Sparse,41.L1.4060.MS46200(1-4),Naive,71.85,2257.55,4599.0,4599.0,4599.0
C - Sparse,41.L1.4060.MT46200(1-4),Naive,97.33,7209.55,8669.0,8669.0,8669.0
C - Sparse,"41.L1.4080.M420(1,3)",Croston,130.95,160.37,179.0,179.0,179.0
C - Sparse,"41.L1.4080.S420(1,4,6,8)",Croston,21.02,31.21,93.0,93.0,93.0
C - Sparse,"41.L1.4080.U420(1,3)",MA6,139.18,141.17,149.0,149.0,149.0
C - Sparse,41.L1.5050.9150(1-8),MA3,30.19,13966.65,49471.0,49471.0,49471.0
C - Sparse,41.L1.5050.MS55200(1-3),Naive,200.0,7210.76,4170.0,4170.0,4170.0
C - Sparse,41.L1.5050.S515(1-5),MA3,26.66,734.62,2075.0,2075.0,2075.0
C - Sparse,41.L1.5050.UT55200(1-4),Naive,200.0,15935.81,20628.0,20628.0,20628.0
C - Sparse,41.L1.6060.AM615(1-7),Naive,30.8,8819.65,15708.0,15708.0,15708.0
C - Sparse,"41.L1.6060.AS615(2,4)",MA3,52.74,3744.44,3786.0,3786.0,3786.0
C - Sparse,41.L1.6060.AU615(1-8),MA3,8.18,1882.1,20244.0,20244.0,20244.0
