Phân khúc,Mã Sản Phẩm,Mô Hình Tối Ưu,Val_sMAPE (%),Val_RMSE,Dự báo T1/2026 (Áp dụng tính mùa vụ),Dự báo T2/2026 (Áp dụng tính mùa vụ),Dự báo T3/2026 (Áp dụng tính mùa vụ)
C - Sparse,45.PK.LUX.TS.120.120.54/62,MA3,75.79,7.99,2,6,3
C - Sparse,45.PK.LUX.VK.505,MA3,146.67,5.77,1,0,0
C - Sparse,45.PK.LUX.XP.304,Naive,66.67,0.58,0,0,0
C - Sparse,45.TB.LUX.CRC.82.45.2.K,Naive,136.51,3,0,0,0
C - Sparse,"46.L1.4080.USC4804(D,V)",Croston,108.66,2063.92,524,1995,2119
C - Sparse,"46.L1.4080.USC4806(D,V)",Croston,104.61,1863.03,511,3026,1374
C - Sparse,"46.L1.4080.USC4808(D,V)",Naive,61.39,1145.64,63,46,249
C - Sparse,"46.L1.4080.USC4809(D,V)",Croston,84.96,1021.1,216,447,2562
C - Sparse,"47.L1.3060.FP936601(D,V)",MA6,25.09,678.89,0,0,2233
C - Sparse,47.L1.3060.FP936604(D),Croston,130.76,1777.96,0,0,0
C - Sparse,47.L1.3060.FP936605,Croston,59.52,485.63,0,0,0
C - Sparse,47.L1.3060.FP936606(D),MA6,70.25,2147.12,0,0,0
C - Sparse,47.L1.3060.FP936607,MA6,76.69,1025.88,0,0,0
C - Sparse,"47.L1.3060.FP936608(D,V)",Croston,130.94,867.58,0,0,0
C - Sparse,47.L1.3060.FP936610(D),Naive,17.76,195.86,0,0,0
C - Sparse,"47.L1.3060.FP9366(11,12/12D)",Croston,45.71,1426.4,0,0,0
C - Sparse,47.L1.3060.FP936613,Croston,140.66,583.94,0,0,449
C - Sparse,"47.L1.4080.FP948601(D,V)",Croston,88.13,728.28,0,0,0
C - Sparse,"47.L1.4080.FP948602(D,V)",Naive,106.18,690.84,0,0,0
C - Sparse,"47.L1.4080.FP948603(D,V)",Croston,105.49,501.71,0,0,0
C - Sparse,"47.L1.4080.FP948604(D,V)",Croston,40.55,1045.25,0,0,0
C - Sparse,"47.L1.6060.AFP9660(0,4,7)",Naive,190.48,1025.24,0,0,0
C - Sparse,"47.L1.6060.AFP96660(2,5)",Naive,200,452.11,0,0,0
C - Sparse,"47.L1.6060.AFPH96600(1,9)",Naive,82.68,313.47,0,0,0
C - Sparse,47.L1.6060.FP96600,Croston,22.49,91.85,0,696,809
C - Sparse,47.L1.6060.FP966605,Croston,133.88,138.62,0,189,135
C - Sparse,47.L1.6060.FPU6666,Croston,62.48,234.46,0,0,260
C - Sparse,"47.L1.6060.FPU96600(2,3,9)",MA6,43.67,1572.7,0,2811,7453
C - Sparse,47.L1.6060.MECO633,Naive,200,244.37,0,0,0
C - Sparse,"47.L1.8080.FP186(00,66)",Naive,77.52,1065.95,0,222,3376
C - Sparse,"47.L1.8080.FPU1880(05,11,13,33,35)', '47.L1.8080.FPU188011', '47.L1.8080.FPU188013', '47.L1.8080.FPU188033', '47.L1.8080.FPU188035']",Naive,37.9,410.35,0,250,280
C - Sparse,"47.L1.8080.FPU80(03,17)",MA6,26.75,633.67,2870,1399,826
C - Sparse,47.L2.8080.CTN8002DB,Croston,90.81,22.05,0,0,0
C - Sparse,29.L1.3060.FC39006D,Croston,46.92,357.02,0,0,530
C - Sparse,29.L1.3060.FC39007,MA6,32.67,1792.06,0,0,4300
C - Sparse,36.L3.3060.USC3602,Naive,0,0,0,0,0
C - Sparse,41.L1.6060.AU6155,MA3,54.04,1068.04,0,0,0
